channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
1,A1,0,9,0.17923833411813317,0.2220346703887684,0.625008271247809,0.17923833411813317,-0.17749506902078713,-0.06456689792128367,0.5089226939156272,0.18431709747872332,0.0635852377902964,5,4,0,4,0.4444444444444444,0.42578125,0.8676470588235294
2,A1,0,9,-0.588998557506817,-0.6113368448196592,0.7994843507809901,0.588998557506817,0.6439641485350659,-0.06154190821931316,0.762665606747238,0.3149226018706042,0.02890056497255345,2,7,0,4,0.4444444444444444,0.09765625,0.546875
3,A1,0,9,-0.17417192679519186,-0.11175522102406325,0.8396977016815022,0.17417192679519186,-0.03303680892192256,0.09495634293515409,0.3228319899430507,0.4292272475787493,0.11825502185309572,4,5,0,3,0.3333333333333333,0.734375,0.9350393700787402
4,A1,0,9,-0.22534051802283755,-0.08196072612414265,0.5743594644265287,0.22534051802283755,-0.048350989774910404,-0.012710034741109323,0.40064826923789765,0.23688890884848082,0.18465739968048392,4,5,0,3,0.3333333333333333,0.734375,0.9350393700787402
5,A1,0,9,-0.05145048706588795,-0.30230594878687594,0.8618495917507756,0.05145048706588795,0.08316121082547347,0.03624586441218679,0.340793585058891,0.4012993518575099,0.10151297476209226,4,5,0,4,0.4444444444444444,0.42578125,0.8676470588235294
6,A1,0,9,0.15759842137594104,0.16367298493760837,0.2847903103041942,0.15759842137594104,-0.5548468603162369,-0.22719793785976186,0.5548468603162369,0.22719793785976186,0.007095754828500229,5,3,1,3,0.3333333333333333,0.1484375,0.5523255813953488
7,A1,0,9,0.03669882271075464,0.07725663870430853,0.6558468096149926,0.03669882271075464,-0.3679469657696491,-0.10700819638011626,1.0,0.5261471072347103,0.025728861776333645,5,2,2,4,0.4444444444444444,0.6875,0.9166666666666666
8,A1,0,9,0.0,0.08470071420510067,0.5092174657530639,0.0,-0.5212828993680217,-0.059890371482256545,0.6879064466509641,0.29045187941177303,0.177595630167262,4,3,2,2,0.2222222222222222,0.578125,0.8809523809523809
9,A1,0,9,-0.226070965623468,-0.47991289407649645,0.8352752329269568,0.226070965623468,0.5386470535495449,0.04702160921840418,0.7061800222272883,0.3125760879260769,0.2026400970455215,3,6,0,5,0.5555555555555556,0.203125,0.6018518518518519
10,A1,0,9,-0.03952579061681938,-0.2584566031446793,0.331321875172709,0.03952579061681938,-0.9057269746917703,-1.0,0.9057269746917703,1.0,0.14529219396305793,1,6,2,1,0.1111111111111111,0.046875,0.4605263157894737
